Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
AAL430,KDFW,APREQ,2018-10-19 10:24:27,2018-10-19 10:39:18,2018-10-19 10:41:52,2.0,False,False,,8.3,2018-10-19 10:11:45,2018-10-19 10:19:33,0.0,2018-10-19 10:24:27,2018-10-19 10:39:18,,
ASH6065,KIAH,APREQ,2018-10-19 10:56:41,2018-10-19 11:00:00,2018-10-19 11:02:56,2.0,False,False,,-35.5,,2018-10-19 10:46:34,1.0,2018-10-19 10:54:09,2018-10-19 11:36:10,2018-10-19 10:56:41,2018-10-19 11:00:00
AAL813,KDFW,APREQ,2018-10-19 11:34:19,2018-10-19 11:52:57,2018-10-19 11:53:04,1.0,True,False,,4.0,2018-10-19 11:28:05,2018-10-19 11:37:17,0.0,2018-10-19 11:34:19,2018-10-19 11:52:57,,
AAL462,KORD,APREQ,2018-10-19 11:39:25,2018-10-19 12:05:00,2018-10-19 11:55:53,-10.0,False,False,,20.5,2018-10-19 11:36:00,2018-10-19 11:33:27,0.0,2018-10-19 11:39:25,2018-10-19 12:05:00,,
AAL419,KATL,APREQ,2018-10-19 11:40:12,2018-10-19 12:22:32,2018-10-19 12:20:50,-2.0,True,True,2018-10-19 11:55:00,10.7,2018-10-19 11:49:00,2018-10-19 11:51:22,0.0,2018-10-19 11:40:12,2018-10-19 12:22:32,,
AAL1643,KATL,APREQ,2018-10-19 13:20:41,2018-10-19 13:57:53,2018-10-19 13:57:54,0.0,True,True,2018-10-19 13:35:00,0.6,2018-10-19 13:35:00,2018-10-19 13:39:32,0.0,2018-10-19 13:20:41,2018-10-19 13:57:53,,
DAL2422,KATL,APREQ,2018-10-19 13:20:43,2018-10-19 14:06:26,2018-10-19 14:07:09,1.0,True,True,2018-10-19 13:35:00,0.6,2018-10-19 13:35:00,2018-10-19 13:36:23,0.0,2018-10-19 13:20:43,2018-10-19 14:06:26,,
DAL2609,KATL,APREQ,2018-10-19 14:27:09,2018-10-19 14:59:50,2018-10-19 14:53:16,-6.0,False,True,2018-10-19 14:42:00,0.6,2018-10-19 14:42:00,2018-10-19 14:40:46,0.0,2018-10-19 14:27:09,2018-10-19 14:59:50,,
AAL620,KIAH,APREQ,2018-10-19 15:38:29,2018-10-19 15:43:20,2018-10-19 15:45:21,2.0,False,False,,0.4,2018-10-19 15:23:00,2018-10-19 15:30:02,1.0,2018-10-19 15:28:38,2018-10-19 15:38:58,2018-10-19 15:38:29,2018-10-19 15:43:20
ASH6212,KIAH,APREQ,2018-10-19 16:06:02,2018-10-19 16:17:19,2018-10-19 16:17:34,0.0,True,False,,2.4,,2018-10-19 16:00:27,1.0,2018-10-19 15:46:07,2018-10-19 16:09:43,2018-10-19 16:06:02,2018-10-19 16:17:19
